[2020-03-09 00:27:08]: Path: save/1583728028/ is created
[2020-03-09 00:27:42]: Start train process.
[2020-03-09 00:27:42]: | epoch   0 |     0/ 4351 batches | rec loss 8.5681 | dis loss 0.9027 |
[2020-03-09 00:27:57]: | epoch   0 |   200/ 4351 batches | rec loss 5.5017 | dis loss 0.7059 |
[2020-03-09 00:28:12]: | epoch   0 |   400/ 4351 batches | rec loss 4.5697 | dis loss 0.6620 |
[2020-03-09 00:28:27]: | epoch   0 |   600/ 4351 batches | rec loss 3.9543 | dis loss 0.6724 |
[2020-03-09 00:28:42]: | epoch   0 |   800/ 4351 batches | rec loss 3.4890 | dis loss 0.7175 |
[2020-03-09 00:28:56]: | epoch   0 |  1000/ 4351 batches | rec loss 2.9476 | dis loss 0.6015 |
[2020-03-09 00:29:11]: | epoch   0 |  1200/ 4351 batches | rec loss 2.8877 | dis loss 0.5887 |
[2020-03-09 00:29:26]: | epoch   0 |  1400/ 4351 batches | rec loss 2.5688 | dis loss 0.5217 |
[2020-03-09 00:29:41]: | epoch   0 |  1600/ 4351 batches | rec loss 2.2396 | dis loss 0.5527 |
[2020-03-09 00:29:56]: | epoch   0 |  1800/ 4351 batches | rec loss 2.4681 | dis loss 0.5880 |
[2020-03-09 00:30:10]: | epoch   0 |  2000/ 4351 batches | rec loss 2.0322 | dis loss 0.6391 |
[2020-03-09 00:30:25]: | epoch   0 |  2200/ 4351 batches | rec loss 2.0790 | dis loss 0.5695 |
[2020-03-09 00:30:40]: | epoch   0 |  2400/ 4351 batches | rec loss 1.8101 | dis loss 0.5043 |
[2020-03-09 00:30:54]: | epoch   0 |  2600/ 4351 batches | rec loss 1.6825 | dis loss 0.5340 |
[2020-03-09 00:31:09]: | epoch   0 |  2800/ 4351 batches | rec loss 1.6117 | dis loss 0.5823 |
[2020-03-09 00:31:24]: | epoch   0 |  3000/ 4351 batches | rec loss 1.4842 | dis loss 0.5141 |
[2020-03-09 00:31:39]: | epoch   0 |  3200/ 4351 batches | rec loss 1.5709 | dis loss 0.5022 |
[2020-03-09 00:31:54]: | epoch   0 |  3400/ 4351 batches | rec loss 1.4853 | dis loss 0.6078 |
[2020-03-09 00:32:08]: | epoch   0 |  3600/ 4351 batches | rec loss 1.3069 | dis loss 0.5103 |
[2020-03-09 00:32:23]: | epoch   0 |  3800/ 4351 batches | rec loss 1.3722 | dis loss 0.4529 |
[2020-03-09 00:32:38]: | epoch   0 |  4000/ 4351 batches | rec loss 1.3295 | dis loss 0.5962 |
[2020-03-09 00:32:52]: | epoch   0 |  4200/ 4351 batches | rec loss 1.3076 | dis loss 0.4883 |
[2020-03-09 00:33:04]: | end of epoch   0 | time: 321.85s |
[2020-03-09 00:33:04]: | epoch   1 |     0/ 4351 batches | rec loss 1.2578 | dis loss 0.5947 |
[2020-03-09 00:33:19]: | epoch   1 |   200/ 4351 batches | rec loss 1.2526 | dis loss 0.5153 |
[2020-03-09 00:33:33]: | epoch   1 |   400/ 4351 batches | rec loss 1.2099 | dis loss 0.5276 |
[2020-03-09 00:33:48]: | epoch   1 |   600/ 4351 batches | rec loss 1.2072 | dis loss 0.5567 |
[2020-03-09 00:34:03]: | epoch   1 |   800/ 4351 batches | rec loss 1.1875 | dis loss 0.6252 |
[2020-03-09 00:34:18]: | epoch   1 |  1000/ 4351 batches | rec loss 1.0174 | dis loss 0.5183 |
[2020-03-09 00:34:32]: | epoch   1 |  1200/ 4351 batches | rec loss 1.1302 | dis loss 0.5181 |
[2020-03-09 00:34:47]: | epoch   1 |  1400/ 4351 batches | rec loss 1.0524 | dis loss 0.4376 |
[2020-03-09 00:35:02]: | epoch   1 |  1600/ 4351 batches | rec loss 0.9676 | dis loss 0.4954 |
[2020-03-09 00:35:17]: | epoch   1 |  1800/ 4351 batches | rec loss 1.2044 | dis loss 0.5683 |
[2020-03-09 00:35:31]: | epoch   1 |  2000/ 4351 batches | rec loss 0.9402 | dis loss 0.6022 |
[2020-03-09 00:35:46]: | epoch   1 |  2200/ 4351 batches | rec loss 1.0814 | dis loss 0.5832 |
[2020-03-09 00:36:01]: | epoch   1 |  2400/ 4351 batches | rec loss 0.9771 | dis loss 0.5517 |
[2020-03-09 00:36:15]: | epoch   1 |  2600/ 4351 batches | rec loss 1.0092 | dis loss 0.5161 |
[2020-03-09 00:36:30]: | epoch   1 |  2800/ 4351 batches | rec loss 0.9198 | dis loss 0.5286 |
[2020-03-09 00:36:45]: | epoch   1 |  3000/ 4351 batches | rec loss 0.9498 | dis loss 0.5306 |
[2020-03-09 00:37:00]: | epoch   1 |  3200/ 4351 batches | rec loss 1.0373 | dis loss 0.4794 |
[2020-03-09 00:37:14]: | epoch   1 |  3400/ 4351 batches | rec loss 1.0342 | dis loss 0.5742 |
[2020-03-09 00:37:29]: | epoch   1 |  3600/ 4351 batches | rec loss 0.8721 | dis loss 0.4932 |
[2020-03-09 00:37:44]: | epoch   1 |  3800/ 4351 batches | rec loss 0.9771 | dis loss 0.4718 |
[2020-03-09 00:37:59]: | epoch   1 |  4000/ 4351 batches | rec loss 0.9071 | dis loss 0.5623 |
[2020-03-09 00:38:13]: | epoch   1 |  4200/ 4351 batches | rec loss 0.9343 | dis loss 0.5142 |
[2020-03-09 00:38:25]: | end of epoch   1 | time: 320.71s |
[2020-03-09 00:38:25]: | epoch   2 |     0/ 4351 batches | rec loss 0.9348 | dis loss 0.5589 |
[2020-03-09 00:38:40]: | epoch   2 |   200/ 4351 batches | rec loss 0.9211 | dis loss 0.5367 |
