[2020-04-24 04:35:31]: Path: save/1587717331/ is created
[2020-04-24 04:35:58]: Start train process.
[2020-04-24 04:35:59]: | epoch   0 |     0/ 4351 batches | rec loss 8.5921 | dis loss 1.1243 |
[2020-04-24 04:36:19]: | epoch   0 |   200/ 4351 batches | rec loss 5.4235 | dis loss 0.6984 |
[2020-04-24 04:36:39]: | epoch   0 |   400/ 4351 batches | rec loss 4.6200 | dis loss 0.6828 |
[2020-04-24 04:36:58]: | epoch   0 |   600/ 4351 batches | rec loss 3.9443 | dis loss 0.6511 |
[2020-04-24 04:37:18]: | epoch   0 |   800/ 4351 batches | rec loss 3.5637 | dis loss 0.6614 |
[2020-04-24 04:37:37]: | epoch   0 |  1000/ 4351 batches | rec loss 3.1562 | dis loss 0.5961 |
[2020-04-24 04:37:57]: | epoch   0 |  1200/ 4351 batches | rec loss 2.9256 | dis loss 0.5981 |
[2020-04-24 04:38:17]: | epoch   0 |  1400/ 4351 batches | rec loss 2.6842 | dis loss 0.5230 |
[2020-04-24 04:38:36]: | epoch   0 |  1600/ 4351 batches | rec loss 2.4845 | dis loss 0.5734 |
[2020-04-24 04:38:56]: | epoch   0 |  1800/ 4351 batches | rec loss 2.3584 | dis loss 0.4998 |
[2020-04-24 04:39:15]: | epoch   0 |  2000/ 4351 batches | rec loss 2.3061 | dis loss 0.5446 |
[2020-04-24 04:39:35]: | epoch   0 |  2200/ 4351 batches | rec loss 2.0682 | dis loss 0.4858 |
[2020-04-24 04:39:55]: | epoch   0 |  2400/ 4351 batches | rec loss 2.0866 | dis loss 0.5329 |
[2020-04-24 04:40:14]: | epoch   0 |  2600/ 4351 batches | rec loss 1.9842 | dis loss 0.5821 |
[2020-04-24 04:40:34]: | epoch   0 |  2800/ 4351 batches | rec loss 1.8468 | dis loss 0.5559 |
[2020-04-24 04:40:53]: | epoch   0 |  3000/ 4351 batches | rec loss 1.7267 | dis loss 0.5117 |
[2020-04-24 04:41:13]: | epoch   0 |  3200/ 4351 batches | rec loss 1.7985 | dis loss 0.4963 |
[2020-04-24 04:41:32]: | epoch   0 |  3400/ 4351 batches | rec loss 1.7031 | dis loss 0.5279 |
[2020-04-24 04:41:52]: | epoch   0 |  3600/ 4351 batches | rec loss 1.5074 | dis loss 0.5917 |
[2020-04-24 04:42:12]: | epoch   0 |  3800/ 4351 batches | rec loss 1.5798 | dis loss 0.4873 |
[2020-04-24 04:42:31]: | epoch   0 |  4000/ 4351 batches | rec loss 1.6284 | dis loss 0.5000 |
[2020-04-24 04:42:51]: | epoch   0 |  4200/ 4351 batches | rec loss 1.4948 | dis loss 0.5725 |
[2020-04-24 04:43:06]: | end of epoch   0 | time: 427.34s |
[2020-04-24 04:43:06]: | epoch   1 |     0/ 4351 batches | rec loss 1.4257 | dis loss 0.5004 |
[2020-04-24 04:43:25]: | epoch   1 |   200/ 4351 batches | rec loss 1.3503 | dis loss 0.4363 |
[2020-04-24 04:43:45]: | epoch   1 |   400/ 4351 batches | rec loss 1.4364 | dis loss 0.4582 |
[2020-04-24 04:44:05]: | epoch   1 |   600/ 4351 batches | rec loss 1.3191 | dis loss 0.4678 |
[2020-04-24 04:44:24]: | epoch   1 |   800/ 4351 batches | rec loss 1.3628 | dis loss 0.4516 |
[2020-04-24 04:44:44]: | epoch   1 |  1000/ 4351 batches | rec loss 1.2294 | dis loss 0.5823 |
[2020-04-24 04:45:03]: | epoch   1 |  1200/ 4351 batches | rec loss 1.2774 | dis loss 0.4910 |
[2020-04-24 04:45:23]: | epoch   1 |  1400/ 4351 batches | rec loss 1.1376 | dis loss 0.4178 |
[2020-04-24 04:45:43]: | epoch   1 |  1600/ 4351 batches | rec loss 1.1776 | dis loss 0.4958 |
[2020-04-24 04:46:02]: | epoch   1 |  1800/ 4351 batches | rec loss 1.1261 | dis loss 0.4414 |
[2020-04-24 04:46:22]: | epoch   1 |  2000/ 4351 batches | rec loss 1.1247 | dis loss 0.5466 |
[2020-04-24 04:46:41]: | epoch   1 |  2200/ 4351 batches | rec loss 1.0525 | dis loss 0.4349 |
[2020-04-24 04:47:01]: | epoch   1 |  2400/ 4351 batches | rec loss 1.1329 | dis loss 0.4872 |
[2020-04-24 04:47:21]: | epoch   1 |  2600/ 4351 batches | rec loss 1.1804 | dis loss 0.5471 |
[2020-04-24 04:47:40]: | epoch   1 |  2800/ 4351 batches | rec loss 1.1231 | dis loss 0.5079 |
[2020-04-24 04:48:00]: | epoch   1 |  3000/ 4351 batches | rec loss 1.0510 | dis loss 0.4886 |
[2020-04-24 04:48:19]: | epoch   1 |  3200/ 4351 batches | rec loss 1.1304 | dis loss 0.4495 |
[2020-04-24 04:48:39]: | epoch   1 |  3400/ 4351 batches | rec loss 1.0866 | dis loss 0.5002 |
[2020-04-24 04:48:58]: | epoch   1 |  3600/ 4351 batches | rec loss 0.9140 | dis loss 0.5592 |
[2020-04-24 04:49:18]: | epoch   1 |  3800/ 4351 batches | rec loss 1.0435 | dis loss 0.4878 |
[2020-04-24 04:49:38]: | epoch   1 |  4000/ 4351 batches | rec loss 1.1163 | dis loss 0.4712 |
[2020-04-24 04:49:57]: | epoch   1 |  4200/ 4351 batches | rec loss 0.9770 | dis loss 0.5178 |
[2020-04-24 04:50:12]: | end of epoch   1 | time: 426.29s |
[2020-04-24 04:50:12]: | epoch   2 |     0/ 4351 batches | rec loss 1.0016 | dis loss 0.4509 |
[2020-04-24 04:50:32]: | epoch   2 |   200/ 4351 batches | rec loss 0.9012 | dis loss 0.4294 |
[2020-04-24 04:50:52]: | epoch   2 |   400/ 4351 batches | rec loss 1.0106 | dis loss 0.4124 |
[2020-04-24 04:51:11]: | epoch   2 |   600/ 4351 batches | rec loss 0.9431 | dis loss 0.4599 |
[2020-04-24 04:51:31]: | epoch   2 |   800/ 4351 batches | rec loss 1.0180 | dis loss 0.4351 |
[2020-04-24 04:51:50]: | epoch   2 |  1000/ 4351 batches | rec loss 0.9147 | dis loss 0.5712 |
[2020-04-24 04:52:10]: | epoch   2 |  1200/ 4351 batches | rec loss 0.9485 | dis loss 0.4505 |
[2020-04-24 04:52:30]: | epoch   2 |  1400/ 4351 batches | rec loss 0.8313 | dis loss 0.4034 |
[2020-04-24 04:52:49]: | epoch   2 |  1600/ 4351 batches | rec loss 0.8530 | dis loss 0.4580 |
[2020-04-24 04:53:09]: | epoch   2 |  1800/ 4351 batches | rec loss 0.8817 | dis loss 0.4179 |
[2020-04-24 04:53:28]: | epoch   2 |  2000/ 4351 batches | rec loss 0.9229 | dis loss 0.5164 |
[2020-04-24 04:53:48]: | epoch   2 |  2200/ 4351 batches | rec loss 0.8240 | dis loss 0.4650 |
[2020-04-24 04:54:08]: | epoch   2 |  2400/ 4351 batches | rec loss 0.8940 | dis loss 0.4765 |
[2020-04-24 04:54:27]: | epoch   2 |  2600/ 4351 batches | rec loss 0.8884 | dis loss 0.5062 |
[2020-04-24 04:54:47]: | epoch   2 |  2800/ 4351 batches | rec loss 0.8695 | dis loss 0.5107 |
[2020-04-24 04:55:06]: | epoch   2 |  3000/ 4351 batches | rec loss 0.8249 | dis loss 0.4891 |
[2020-04-24 04:55:26]: | epoch   2 |  3200/ 4351 batches | rec loss 0.8923 | dis loss 0.4287 |
[2020-04-24 04:55:46]: | epoch   2 |  3400/ 4351 batches | rec loss 0.8604 | dis loss 0.4825 |
[2020-04-24 04:56:05]: | epoch   2 |  3600/ 4351 batches | rec loss 0.7640 | dis loss 0.5157 |
[2020-04-24 04:56:25]: | epoch   2 |  3800/ 4351 batches | rec loss 0.8533 | dis loss 0.4424 |
[2020-04-24 04:56:44]: | epoch   2 |  4000/ 4351 batches | rec loss 0.9097 | dis loss 0.4785 |
[2020-04-24 04:57:04]: | epoch   2 |  4200/ 4351 batches | rec loss 0.8250 | dis loss 0.5155 |
[2020-04-24 04:57:19]: | end of epoch   2 | time: 426.44s |
[2020-04-24 04:57:19]: | epoch   3 |     0/ 4351 batches | rec loss 0.8302 | dis loss 0.4361 |
[2020-04-24 04:57:39]: | epoch   3 |   200/ 4351 batches | rec loss 0.7897 | dis loss 0.4349 |
[2020-04-24 04:57:58]: | epoch   3 |   400/ 4351 batches | rec loss 0.8362 | dis loss 0.4145 |
[2020-04-24 04:58:18]: | epoch   3 |   600/ 4351 batches | rec loss 0.8242 | dis loss 0.4271 |
[2020-04-24 04:58:37]: | epoch   3 |   800/ 4351 batches | rec loss 0.8507 | dis loss 0.4493 |
[2020-04-24 04:58:57]: | epoch   3 |  1000/ 4351 batches | rec loss 0.7722 | dis loss 0.5569 |
[2020-04-24 04:59:17]: | epoch   3 |  1200/ 4351 batches | rec loss 0.8239 | dis loss 0.4641 |
[2020-04-24 04:59:36]: | epoch   3 |  1400/ 4351 batches | rec loss 0.6909 | dis loss 0.3847 |
[2020-04-24 04:59:56]: | epoch   3 |  1600/ 4351 batches | rec loss 0.7537 | dis loss 0.4678 |
[2020-04-24 05:00:15]: | epoch   3 |  1800/ 4351 batches | rec loss 0.7364 | dis loss 0.4096 |
[2020-04-24 05:00:35]: | epoch   3 |  2000/ 4351 batches | rec loss 0.7732 | dis loss 0.5529 |
[2020-04-24 05:00:55]: | epoch   3 |  2200/ 4351 batches | rec loss 0.7261 | dis loss 0.4390 |
